left,right,similarity,matched_weight,compared_weight,matching_characteristics,differing_characteristics
Nautilus-Like Shell,Nautilus-Like Shell with Smooth Surface,1.000000,6,6,family; geometry; form; coiling; umbilicus; whorl_contact,
Nautilus-Like Shell,Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; spire
Nautilus-Like Shell,Turritella-Like Tower Shell (turritella),0.142857,1,7,geometry,family; form; coiling; umbilicus; whorl_contact; spire
Orthocone-Like Shell (orthocone),Ramshorn-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (orthocone),Serpenticone Ammonite-Like Shell,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (orthocone),Nautilus-Like Shell with Smooth Surface,0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; axis
Orthocone-Like Shell (orthocone),Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; whorl_contact; axis; spire
Orthocone-Like Shell (orthocone),Turritella-Like Tower Shell (turritella),0.000000,0,7,,family; geometry; form; coiling; whorl_contact; axis; spire
Ramshorn-Like Shell,Serpenticone Ammonite-Like Shell,0.666667,4,6,geometry; coiling; umbilicus; whorl_contact,family; form
Ramshorn-Like Shell,Nautilus-Like Shell with Smooth Surface,0.333333,2,6,geometry; coiling,family; form; umbilicus; whorl_contact
Ramshorn-Like Shell,Turritella-Like Tower Shell (turritella-helix),0.142857,1,7,family,geometry; form; coiling; umbilicus; whorl_contact; spire
Ramshorn-Like Shell,Turritella-Like Tower Shell (turritella),0.285714,2,7,family; geometry,form; coiling; umbilicus; whorl_contact; spire
Serpenticone Ammonite-Like Shell,Nautilus-Like Shell with Smooth Surface,0.333333,2,6,geometry; coiling,family; form; umbilicus; whorl_contact
Serpenticone Ammonite-Like Shell,Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; spire
Serpenticone Ammonite-Like Shell,Turritella-Like Tower Shell (turritella),0.142857,1,7,geometry,family; form; coiling; umbilicus; whorl_contact; spire
Nautilus-Like Shell with Smooth Surface,Turritella-Like Tower Shell (turritella-helix),0.000000,0,7,,family; geometry; form; coiling; umbilicus; whorl_contact; spire
Nautilus-Like Shell with Smooth Surface,Turritella-Like Tower Shell (turritella),0.142857,1,7,geometry,family; form; coiling; umbilicus; whorl_contact; spire
Turritella-Like Tower Shell (turritella-helix),Turritella-Like Tower Shell (turritella),0.833333,5,6,family; form; coiling; whorl_contact; spire,geometry
